weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98664
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98665
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98668
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,2,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE,OVER 15FT,NONE,SITTING,98671
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,23,4,40 S&W,13,Yes,14,RIGHT SIDE (WAIST),STRONG SIDE DRAW,EMERGENCY RELOAD,true,SQUAD CAR,OVER 15FT,OBJECT,SITTING,98675
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98701
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98709
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98717
CHEMICAL WEAPON,,,,,,,,,,,,,,,,,98731
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98738
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98750
TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,98754
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98756
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98759
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98768
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,21,4.75,45 CAL,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,GARBAGE CAN,OVER 15FT,UNKNOWN,OTHER (SPECIFY),98774
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98780
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98790
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98794
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98812
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98839
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98849
SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P229,4 IN, 9 MM,1,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,OBJECT,STANDING,98860
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98881
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98892
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98896
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98903
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98912
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98919
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98997
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99020
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99024
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99028
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99050
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99067
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,30,4, 45 ACP,4,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE,10-15FT,UNKNOWN,SITTING,99075
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,6,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE,10-15FT,UNKNOWN,SITTING,99078
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99082
TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,99103
